"","POS_mm","RghtLft","SECTION","volume","volume D","volume V","index","index D","index V","mb","set","src","position"
"222",0.1,"left","distal",0,0,0,0,0,0,"MB11",2,"MB11-2","left distal"
"4736",0.1,"left","distal",0,0,0,0,0,0,"MB22",2,"MB22-2","left distal"
"3249",0.1,"left","proximal",0,0,8.75e-06,1.7573,3.5,0.0146,"MB19",1,"MB19-1","left proximal"
"4377",0.1,"left","proximal",0.003086,0.0002145,0.00331375,1.8095,4.1239,2.6191,"MB22",1,"MB22-1","left proximal"
"901",0.1,"left","proximal",0,0,0,0,0,0,"MB13",1,"MB13-1","left proximal"
"440",0.1,"right","distal",0,0,0,0,0,0,"MB12",1,"MB12-1","right distal"
"3845",0.1,"right","distal",0,0,0,0,0,0,"MB21",1,"MB21-1","right distal"
"5484",0.2,"left","distal",5e-04,1e-04,3e-04,1.4193,2,0.8386,"MB23",2,"MB23-2","left distal"
"2097",0.2,"left","distal",0,0,0,0,0,0,"MB17",1,"MB17-1","left distal"
"223",0.2,"right","distal",0.001409,0.00099075,0.00046575,0.3046,0.2209,0.3882,"MB11",2,"MB11-2","right distal"
"902",0.2,"right","proximal",0.00016,6.525e-05,9.475e-05,1.9772,2,1.9544,"MB13",1,"MB13-1","right proximal"
"1191",0.2,"right","proximal",0.000248,0.00022825,1.95e-05,0.8054,1.4653,0.3491,"MB13",2,"MB13-2","right proximal"
"3250",0.2,"right","proximal",0.00292475,3.55e-05,0.002903,3.1787,5,1.3574,"MB19",1,"MB19-1","right proximal"
"2930",0.2,"right","proximal",0,0,0,0,0,0,"MB18",2,"MB18-2","right proximal"
"4378",0.2,"right","proximal",0,0,0,0,0,0,"MB22",1,"MB22-1","right proximal"
"4737",0.3,"left","distal",7.175e-05,0,0.00152225,1.7959,1.9347,1.6572,"MB22",2,"MB22-2","left distal"
"1818",0.3,"left","distal",0.00022025,0.00013525,0.0001355,5.9342,5.4543,6.4142,"MB14",2,"MB14-2","left distal"
"2609",0.3,"left","distal",0.00200275,0.0001965,0.00185625,3.7833,5.4276,2.1391,"MB18",1,"MB18-1","left distal"
"2349",0.3,"left","distal",0.0054675,0.001237,0.0042305,10.9537,11,10.9074,"MB17",2,"MB17-2","left distal"
"224",0.3,"left","distal",0.02217775,0.0180175,0.004201,3.2245,3.8933,2.5556,"MB11",2,"MB11-2","left distal"
"4379",0.3,"left","proximal",0.004618,5e-07,0.00585325,3.5425,1.3249,5.76,"MB22",1,"MB22-1","left proximal"
"3251",0.3,"left","proximal",0.00489075,0.000444,0.004476,3.5291,4.5285,2.5296,"MB19",1,"MB19-1","left proximal"
"903",0.3,"left","proximal",0,0,0,0,0,0,"MB13",1,"MB13-1","left proximal"
"5090",0.3,"right","distal",0.0012,0,0.0012,4,4,4,"MB23",1,"MB23-1","right distal"
"678",0.3,"right","distal",0.0014,2e-04,0.0017,2.3392,2.5,2.1785,"MB12",2,"MB12-2","right distal"
"3846",0.3,"right","distal",0.0035,0,0.0036,3.9968,4,3.9936,"MB21",1,"MB21-1","right distal"
"441",0.3,"right","distal",0.0127,0.0018,0.0109,9.9841,10,9.9682,"MB12",1,"MB12-1","right distal"
"1474",0.3,"right","distal",0.002211,0.00035225,0.001897,4.9859,5,4.9717,"MB14",1,"MB14-1","right distal"
"1",0.3,"right","distal",0.00336725,7.725e-05,0.003367,4.9779,5,4.9557,"MB11",1,"MB11-1","right distal"
"3550",0.3,"right","distal",0.0049015,0.00102875,0.0043685,1.6633,1.8333,1.4933,"MB19",2,"MB19-2","right distal"
"679",0.4,"left","distal",2e-04,2e-04,1e-04,1.736,2,1.4721,"MB12",2,"MB12-2","left distal"
"5091",0.4,"left","distal",0.001,0,0.0017,10.3222,17,3.6444,"MB23",1,"MB23-1","left distal"
"4143",0.4,"left","distal",0.0019,9e-04,0.0011,2.0347,1.172,2.8975,"MB21",2,"MB21-2","left distal"
"5485",0.4,"left","distal",0.0048,9e-04,0.0045,10.4172,16,4.8343,"MB23",2,"MB23-2","left distal"
"2098",0.4,"left","distal",1.825e-05,0,0.00041625,2.8504,1.5327,4.168,"MB17",1,"MB17-1","left distal"
"442",0.4,"left","distal",0.0209,0.0017,0.0206,21.9921,22,21.9842,"MB12",1,"MB12-1","left distal"
"3551",0.4,"left","distal",0.00126525,2.775e-05,0.0017895,2.9745,4.5491,1.3999,"MB19",2,"MB19-2","left distal"
"4738",0.4,"right","distal",0,0,4.875e-05,0.3671,0.7073,0.0269,"MB22",2,"MB22-2","right distal"
"225",0.4,"right","distal",0.002157,0.00114875,0.001409,0.6389,0.4114,0.8664,"MB11",2,"MB11-2","right distal"
"2931",0.4,"right","proximal",0.000816,0.000228,0.000656,2.5701,0.3218,4.8183,"MB18",2,"MB18-2","right proximal"
"1192",0.4,"right","proximal",0.00088825,0.0006715,0.0002165,1.8119,3.4111,0.7326,"MB13",2,"MB13-2","right proximal"
"3252",0.4,"right","proximal",0.00095675,0.000664,0.000374,2.0631,3.5096,0.6166,"MB19",1,"MB19-1","right proximal"
"904",0.4,"right","proximal",0.00135025,0.00051225,0.001001,8.5977,8.5275,8.8154,"MB13",1,"MB13-1","right proximal"
"4380",0.4,"right","proximal",0,0,0,0,0,0,"MB22",1,"MB22-1","right proximal"
"4739",0.5,"left","distal",0.00011325,0,0.00142725,1.8757,1.9599,1.7916,"MB22",2,"MB22-2","left distal"
"1819",0.5,"left","distal",0.00028875,6.875e-05,0.00029525,3.539,2.4205,4.6575,"MB14",2,"MB14-2","left distal"
"2610",0.5,"left","distal",0.00400775,0.00015725,0.0041195,6.6614,8.9601,4.3627,"MB18",1,"MB18-1","left distal"
"2350",0.5,"left","distal",0.0086845,0.002254,0.0064305,16.9699,17,16.9398,"MB17",2,"MB17-2","left distal"
"226",0.5,"left","distal",0.0100135,0.0071165,0.00290225,2.298,2.6278,1.9894,"MB11",2,"MB11-2","left distal"
"905",0.5,"left","proximal",0.0004115,7.25e-06,0.00048725,0.382,0.3502,0.7408,"MB13",1,"MB13-1","left proximal"
"3253",0.5,"left","proximal",0.00097775,0.000408,0.00057675,2.0785,3.3726,0.7845,"MB19",1,"MB19-1","left proximal"
"4381",0.5,"left","proximal",0.00176725,0,0.002882,2.8437,1.783,3.9044,"MB22",1,"MB22-1","left proximal"
"1193",0.5,"left","proximal",0,0,0,0,0,0,"MB13",2,"MB13-2","left proximal"
"2932",0.5,"left","proximal",0,0,0,0,0,0,"MB18",2,"MB18-2","left proximal"
"680",0.5,"right","distal",0.0026,0.001,0.002,3.0925,4.4661,1.7189,"MB12",2,"MB12-2","right distal"
"5092",0.5,"right","distal",0.0035,0,0.004,10.9962,11,10.9923,"MB23",1,"MB23-1","right distal"
"3847",0.5,"right","distal",0.0045,0,0.0046,4.9983,5,4.9966,"MB21",1,"MB21-1","right distal"
"443",0.5,"right","distal",0.0259,0.006,0.0207,17.9838,18,17.9676,"MB12",1,"MB12-1","right distal"
"3552",0.5,"right","distal",0.00210625,8.5e-06,0.002447,2.7868,3,2.5735,"MB19",2,"MB19-2","right distal"
"1475",0.5,"right","distal",0.0036935,0.00065475,0.003071,6.9822,7,6.9644,"MB14",1,"MB14-1","right distal"
"2",0.5,"right","distal",0.00899875,0.00107275,0.007958,7.9878,8,7.9755,"MB11",1,"MB11-1","right distal"
"5486",0.5,"right","distal",0,0,0,0,0,0,"MB23",2,"MB23-2","right distal"
"2099",0.6,"left","distal",0,0,0.0001265,2.1016,1.778,2.4253,"MB17",1,"MB17-1","left distal"
"4144",0.6,"left","distal",5e-04,2e-04,3e-04,0.9507,0.4282,1.4731,"MB21",2,"MB21-2","left distal"
"681",0.6,"left","distal",0.0018,0.0012,7e-04,2.5199,2.862,2.1779,"MB12",2,"MB12-2","left distal"
"5093",0.6,"left","distal",0.0029,2e-04,0.0032,3.2022,4.5,1.9043,"MB23",1,"MB23-1","left distal"
"5487",0.6,"left","distal",0.0078,0.0025,0.0059,10.5679,13.75,7.3858,"MB23",2,"MB23-2","left distal"
"444",0.6,"left","distal",0.0246,0.0014,0.0254,25.9795,26,25.9589,"MB12",1,"MB12-1","left distal"
"3553",0.6,"left","distal",0.00032625,0.000114,0.000809,2.501,3.8133,1.1888,"MB19",2,"MB19-2","left distal"
"4740",0.6,"right","distal",0,0,4.85e-05,0.3768,0.7218,0.0318,"MB22",2,"MB22-2","right distal"
"227",0.6,"right","distal",0.0024465,0.00117325,0.001631,0.858,0.7937,0.9223,"MB11",2,"MB11-2","right distal"
"2933",0.6,"right","proximal",0.0003055,0.00015825,0.000172,0.5257,0.242,0.8094,"MB18",2,"MB18-2","right proximal"
"3254",0.6,"right","proximal",0.00034025,0.00015475,0.00022825,0.9177,1.4519,0.3835,"MB19",1,"MB19-1","right proximal"
"1194",0.6,"right","proximal",0.00160075,0.0012545,0.00034825,1.9391,2.9732,0.9049,"MB13",2,"MB13-2","right proximal"
"906",0.6,"right","proximal",0.002438,0.00083925,0.001853,7.8148,7.0658,8.5638,"MB13",1,"MB13-1","right proximal"
"4382",0.6,"right","proximal",0,0,0,0,0,0,"MB22",1,"MB22-1","right proximal"
"1820",0.7,"left","distal",0.000251,2.525e-05,0.0003655,2.6431,1.7725,3.5138,"MB14",2,"MB14-2","left distal"
"4741",0.7,"left","distal",0.0003785,0,0.0009075,1.2461,1.6084,0.8838,"MB22",2,"MB22-2","left distal"
"228",0.7,"left","distal",0.00135575,2.55e-05,0.00147625,2.5829,3.2837,1.8821,"MB11",2,"MB11-2","left distal"
"2611",0.7,"left","distal",0.001588,0.0007545,0.00099075,4.7935,7.9431,1.6439,"MB18",1,"MB18-1","left distal"
"2351",0.7,"left","distal",0.00913975,0.003043,0.00609675,17.9646,18,17.9291,"MB17",2,"MB17-2","left distal"
"3255",0.7,"left","proximal",0.00079275,0.00027925,0.00052225,1.3947,2.0682,0.7211,"MB19",1,"MB19-1","left proximal"
"4383",0.7,"left","proximal",0.00079375,0,0.00171675,2.2268,1.5904,2.8632,"MB22",1,"MB22-1","left proximal"
"907",0.7,"left","proximal",0.00110475,2.175e-05,0.0012805,0.7699,1.0865,1.4722,"MB13",1,"MB13-1","left proximal"
"1195",0.7,"left","proximal",0.0038645,0.000829,0.00303525,1.1357,1.4487,0.8226,"MB13",2,"MB13-2","left proximal"
"2934",0.7,"left","proximal",0,0,0,0,0,0,"MB18",2,"MB18-2","left proximal"
"682",0.7,"right","distal",0.0036,0.0015,0.0024,4.0682,5.6449,2.4916,"MB12",2,"MB12-2","right distal"
"5488",0.7,"right","distal",0.005,6e-04,0.0044,7.9409,10,5.8819,"MB23",2,"MB23-2","right distal"
"3848",0.7,"right","distal",0.0076,1e-04,0.0075,7.9993,8,7.9987,"MB21",1,"MB21-1","right distal"
"5094",0.7,"right","distal",0.0084,0.0013,0.0076,18.4643,19,17.9285,"MB23",1,"MB23-1","right distal"
